Index,Ticker,Stock Name,Sector,Industry,PE Ratio,Employees,Beta,Market Cap,VALUE RATIO,VALUE RATIO w/o BETA,EBIT GROWTH YoY,VALUE RATIO WITHOUT EMPLOYEES,
4636,LGCL,Lucas GC Ltd (Fin),Technology,Software - Application,31.08333333,0,0.47,"$590,620,536.00 ",0,0,24.92569207,"$8,930,562.53 ",
4739,JG,Aurora Mobile Ltd (Mobile Analytics China),Technology,Software - Infrastructure,7.67032967,0,0.614,"$491,136,868.00 ",0,0,144.2286591,"$39,314,873.01 ",
5097,SMSI,"SMITH MICRO SOFTWARE, INC. (Mobile Software)",Technology,Software - Application,4.446493056,0,0.659,"$288,485,172.00 ",0,0,14.0649677,"$42,755,431.29 ",
3536,RMNI,"Rimini Street, Inc. (Enterprise Software Support)",Technology,Software - Application,-312.5,0,0.04,"$263,787,500.00 ",0,0,0.162250245,"($33,764.80)",
5174,JDZG,JIADE Ltd (Unknown - Possibly Consumer),Technology,Information Technology Services,5.330882353,0,0.761,"$181,829,297.00 ",0,0,10.82976429,"$25,956,696.44 ",
4405,MOBX,"MOBIX LABS, INC (Semiconductor RF tech)",Technology,Semiconductors,-2.949950794,0,-0.917,"$70,526,193.00 ",0,0,-0.498861432,"$21,923,253.47 ",
4417,NVNI,Nvni Group Ltd (Unknown - Possibly Tech),Technology,Software - Application,-9.130340525,0,0,"$69,286,094.00 ",0,0,-2.049227338,$0.00 ,
5341,VISL,"Vislink Technologies, Inc. (Wireless Video Systems)",Technology,Communication Equipment,6.053370787,0,1.21,"$67,969,636.00 ",0,0,14.65242663,"$13,586,357.49 ",
5059,QURT,"Quarta-Rad, Inc. (Air Quality Monitors)",Technology,"Hardware, Equipment & Parts",-200,0,0.829,"$17,555,440.00 ",0,0,-1.092881464,"($72,767.30)",
5144,KWIK,"KwikClick, Inc. (Influencer Marketing Platform)",Technology,Software - Application,-5.709202454,0,-0.717,"$14,484,669.00 ",0,0,0.005186243,"$1,819,082.04 ",
5468,AIAD,"AiAdvertising, Inc. (AI Marketing Tech)",Technology,Software - Application,-1.934495307,0,1.029,"$14,129,648.00 ",0,0,12.54270463,"($7,515,866.15)",
5477,DATS,"DatChat, Inc. (Messaging/Privacy App)",Technology,Software - Application,2.441779328,0,0,"$13,409,487.00 ",0,0,11.87634751,$0.00 ,
4657,ZEPP,Zepp Health Corp (Wearables China),Technology,Consumer Electronics,-959,0,-2.212,"$11,508,000.00 ",0,0,0.515684124,"$26,544.00 ",
5449,NAHD,"New Asia Holdings, Inc. (FinTech/Algo Trading)",Technology,Software - Application,-8.8,0,-5.498,"$5,831,848.00 ",0,0,-0.265911599,"$3,643,579.58 ",
363,SLF,SUN LIFE FINANCIAL INC (Insurance),Financial Services,Insurance - Diversified,9.524225122,30941,0.939,"$33,819,964,150.00 ",107764.2566,114764.9165,3.836038961,"$3,334,333,862.34 ",
368,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP (Rail Equip),Industrials,Railroads,31.66334992,29000,1.272,"$32,598,938,500.00 ",45158.10526,35501.65508,0.190968956,"$1,309,585,052.65 ",
886,VNOM,Viper Energy Inc. (Oil & Gas Royalties),Energy,Oil & Gas Midstream,20.80257511,0,1.82,"$9,132,164,890.00 ",0,0,-0.088559286,"$798,965,513.26 ",
909,USO,"United States Oil Fund, LP (Commodity ETF)",Financial Services,Asset Management,22.07,0,1.06,"$8,666,311,646.00 ",0,0,0,"$416,234,270.27 ",
930,PHYS,Sprott Physical Gold Trust (Gold ETF),Financial Services,Asset Management,3.272993421,0,0.14229383,"$8,386,123,467.00 ",0,0,9.773141749,"$364,587,847.72 ",
1003,BXSL,Blackstone Secured Lending Fund (BDC),Financial Services,Asset Management,8.793055556,0,0.435,"$6,924,800,046.00 ",0,0,0.556078056,"$342,575,797.55 ",
1078,OBDC,Blue Owl Capital Corp (BDC),Financial Services,Financial - Credit Services,8.713872832,0,0.905,"$5,925,445,145.00 ",0,0,0.534675398,"$615,401,206.74 ",
1177,PSLV,Sprott Physical Silver Trust (Commodity),Financial Services,Asset Management,3.115080906,0,0.6782506,"$5,046,405,900.00 ",0,0,-1.518722328,"$1,098,760,492.20 ",
1182,PDI,PIMCO Dynamic Income Fund (CEF),Financial Services,Asset Management - Income,6.48E-08,0,0.75691605,"$5,011,227,280.00 ",0,0,3.638790555,"$58,565,979,295,120,500.00 ",
4209,NMI,NUVEEN MUNICIPAL INCOME FUND INC (CEF-Fin),Financial Services,Asset Management - Income,3.152356091,0,0.071,"$4,749,462,609.00 ",0,0,64.2701502,"$106,971,368.56 ",
1446,NEA,Nuveen AMT-Free Quality Muni Inc Fund (CEF - Financial),Financial Services,Asset Management - Income,70.34375,0,0.52,"$3,354,690,240.00 ",0,0,1.212230569,"$24,798,776.36 ",
1458,ECG,"Everus Construction Group, Inc. (Assume Construction)",Miscellaneous,0,43.16139241,0,0,"$3,306,812,198.00 ",0,0,0.094342946,$0.00 ,
1477,DNP,DNP SELECT INCOME FUND INC (CEF-Financial),Financial Services,Asset Management - Income,-9.356382979,0,0.49,"$3,204,366,325.00 ",0,0,-24.45330575,"($167,814,795.82)",
1497,BVN,BUENAVENTURA MINING CO INC (Mining),Basic Materials,Other Precious Metals,8.760184201,0,0.833,"$3,138,454,550.00 ",0,0,-0.839773934,"$298,433,523.79 ",
1508,BXMT,"BLACKSTONE MORTGAGE TRUST, INC. (Mortgage REIT)",Real Estate,REIT - Mortgage,-12.85786037,0,1.529,"$3,096,503,100.00 ",0,0,-0.73894998,"($368,222,480.54)",
1587,CSQ,CALAMOS STRATEGIC TOTAL RETURN FUND (CEF-Financial),Financial Services,Asset Management,5.849692643,0,1.344,"$2,795,888,810.00 ",0,0,1.391196244,"$642,371,281.70 ",
1620,NAD,Nuveen Quality Municipal Income Fund (CEF-Financial),Financial Services,Asset Management - Income,-28.825,0,0.502,"$2,668,402,663.00 ",0,0,1.236140335,"($46,471,401.10)",
1644,NVG,Nuveen AMT-Free Municipal Credit Income Fund (CEF),Financial Services,Asset Management - Income,28.48837209,0,0.627,"$2,590,021,860.00 ",0,0,1.202517634,"$57,003,738.27 ",
1673,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund (CEF),Financial Services,Asset Management - Income,7.189122807,0,0,"$2,514,608,060.00 ",0,0,0.577042861,$0.00 ,
1695,UTG,REAVES UTILITY INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,-68.54444444,0,0.812,"$2,440,685,904.00 ",0,0,0.785208979,"($28,913,166.78)",
1696,DBC,Invesco DB Commodity Index Fund (ETF-Commodity),Financial Services,Asset Management,-24.08241758,0,0.89,"$2,437,989,197.00 ",0,0,-0.835768356,"($90,099,358.93)",
1711,NZF,Nuveen Municipal Credit Income Fund (CEF-Financial),Financial Services,Asset Management - Income,15.76089744,0,0.629,"$2,375,117,540.00 ",0,0,1.280885202,"$94,788,316.36 ",
1733,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund (CEF),Financial Services,Asset Management - Income,5.659695817,0,1.051,"$2,330,784,690.00 ",0,0,1.030585446,"$432,824,446.47 ",
1737,PTY,PIMCO CORPORATE & INCOME OPPORTUNITY FUND (CEF-Financial),Financial Services,Asset Management - Income,10.34782609,0,1.015,"$2,316,233,790.00 ",0,0,0.560976512,"$227,195,284.92 ",
1762,UTF,COHEN & STEERS INFRASTRUCTURE FUND INC (CEF-Financial),Financial Services,Asset Management,20.11206897,0,1.011,"$2,239,108,157.00 ",0,0,1.599431619,"$112,556,214.39 ",
1788,GDV,GABELLI DIVIDEND & INCOME TRUST (CEF-Financial),Financial Services,Asset Management - Income,8.189931507,0,1.182,"$2,141,325,673.00 ",0,0,1.072742814,"$309,043,725.62 ",
4231,PCM,"PCM FUND, INC. (CEF-Fin)",Financial Services,Asset Management,1.16E-07,0,0.60350806,"$2,071,818,000.00 ",0,0,13.90135891,"$10,784,533,912,826,300.00 ",
1813,DKL,"Delek Logistics Partners, LP (Midstream)",Energy,Oil & Gas Midstream,14.18021201,0,2.098,"$2,060,984,002.00 ",0,0,0.139578028,"$304,928,052.78 ",
1841,KYN,Kayne Anderson Energy Infrastructure Fund (CEF-Financial),Financial Services,Asset Management,3.827974277,0,1.631,"$1,986,384,870.00 ",0,0,-0.793726055,"$846,346,785.15 ",
1856,CLM,CORNERSTONE STRATEGIC VALUE FUND INC (CEF-Financial),Financial Services,Asset Management,5.712965517,0,1.114,"$1,942,506,600.00 ",0,0,2.569405292,"$378,779,172.74 ",
1857,TSLX,"Sixth Street Specialty Lending, Inc. (BDC)",Financial Services,Asset Management,9.975728155,0,1.063,"$1,941,006,080.00 ",0,0,0.968019935,"$206,830,963.21 ",
1864,USA,LIBERTY ALL STAR EQUITY FUND (CEF-Financial),Financial Services,Asset Management,5.416666667,0,1.106,"$1,918,813,260.00 ",0,0,1.962186716,"$391,792,147.46 ",
1881,PSEC,PROSPECT CAPITAL CORP (BDC),Financial Services,Asset Management,-39.48100093,0,0.996,"$1,864,652,400.00 ",0,0,0.760486311,"($47,040,190.13)",
1889,OBDE,Blue Owl Capital Corp III (BDC),Financial Services,Asset Management,8.420454545,0,0,"$1,844,184,609.00 ",0,0,0.528673404,$0.00 ,
1891,MSDL,Morgan Stanley Direct Lending Fund (BDC),Miscellaneous,0,8.106392157,0,0,"$1,838,870,964.00 ",0,0,0.513361988,$0.00 ,
